iter	RMSE
0	3.107084143
1	2.90001326
2	2.695590107
3	2.530115266
4	2.362983015
5	2.219210097
6	2.087107202
7	1.967845068
8	1.872123498
9	1.786718724
10	1.716369419
11	1.650145823
12	1.594667854
13	1.545239061
14	1.504207353
15	1.464279353
16	1.433910111
17	1.404664298
18	1.381900528
19	1.362048495
20	1.343809239
21	1.319118323
22	1.295087083
23	1.273200454
24	1.252533966
25	1.237886043
26	1.224189088
27	1.213673496
28	1.198133555
29	1.186131757
30	1.177419405
31	1.170509494
32	1.162468708
33	1.155534922
34	1.15057819
35	1.14451723
36	1.13724442
37	1.134440631
38	1.128632922
39	1.124569253
40	1.116033166
41	1.111991688
42	1.109035459
43	1.104991074
44	1.100027924
45	1.095218418
46	1.09281392
47	1.091174552
48	1.08802584
49	1.084497505
50	1.082434312
51	1.080881121
52	1.078409505
53	1.077309204
54	1.071807008
55	1.070957985
56	1.069253012
57	1.067531999
58	1.066296828
59	1.061077016
60	1.058264775
61	1.054923079
62	1.053525038
63	1.051688548
64	1.049776145
65	1.045588424
66	1.044411531
67	1.041873497
68	1.041147092
69	1.039471875
70	1.033745249
71	1.030859094
72	1.029633494
73	1.027364094
74	1.026549124
75	1.025167318
76	1.024035666
77	1.022369345
78	1.019670965
79	1.01864358
80	1.015048645
81	1.013459635
82	1.012214977
83	1.009833896
84	1.004998172
85	1.003427298
86	0.9983862258
87	0.9963359729
88	0.9935710388
89	0.9919665007
90	0.9913269598
91	0.9906051243
92	0.9887141446
93	0.9877225292
94	0.9863573765
95	0.9846465373
96	0.9824253742
97	0.9813579587
98	0.9773706554
99	0.9761876146
100	0.9750043578
101	0.9742275331
102	0.9733124024
103	0.9702757424
104	0.9693790593
105	0.9687388834
106	0.9679746839
107	0.9653606632
108	0.9646543205
109	0.9631849379
110	0.9616415213
111	0.960805098
112	0.9583234232
113	0.956986622
114	0.9551396051
115	0.9534872263
116	0.9527300392
117	0.9520664266
118	0.9500105937
119	0.9495048891
120	0.9480704781
121	0.9474751537
122	0.9470568957
123	0.9456937732
124	0.9448132685
125	0.9441838601
126	0.9431392947
127	0.941564487
128	0.9409406347
129	0.9397274179
130	0.9392040815
131	0.9376229074
132	0.9358634786
133	0.9346159709
134	0.9334871042
135	0.9322035202
136	0.9317690322
137	0.9309003798
138	0.9300269467
139	0.9295314559
140	0.927893571
141	0.9274913825
142	0.9270822134
143	0.9255998391
144	0.9245187205
145	0.9237321407
146	0.9234255601
147	0.9222354363
148	0.9213584639
149	0.9210911222
150	0.9204606149
151	0.9197598938
152	0.9193638296
153	0.9181887391
154	0.9175079167
155	0.9171119501
156	0.9165554867
157	0.9152979656
158	0.9146693939
159	0.9127404327
160	0.9118751203
161	0.9102558372
162	0.9094375111
163	0.9080358343
164	0.9074863632
165	0.9059579347
166	0.9051939716
167	0.9044397835
168	0.9030742237
169	0.9027538061
170	0.902417786
171	0.9015521009
172	0.9007786256
173	0.89999554
174	0.899702321
175	0.8988399013
176	0.898470694
177	0.8969088234
178	0.8957304164
179	0.8944118038
180	0.8939380405
181	0.8931290428
182	0.892110356
183	0.8913200108
184	0.8910381436
185	0.890499293
186	0.8899316195
187	0.8892408134
188	0.8886973113
189	0.8884686202
190	0.8880051557
191	0.887531275
192	0.8864326225
193	0.8842631857
194	0.8833104593
195	0.8825411092
196	0.8817440319
197	0.8801185899
198	0.8795368367
199	0.8785024265
200	0.878063456
201	0.8767359122
202	0.8764655878
203	0.875325496
204	0.8748178605
205	0.8738778358
206	0.8730454208
207	0.8726563805
208	0.8714602877
209	0.8704565257
210	0.8695441714
211	0.868975588
212	0.8686995988
213	0.8681643162
214	0.8672730755
215	0.8668986144
216	0.8665891311
217	0.8662554161
218	0.8655415525
219	0.8644779011
220	0.8643134507
221	0.8636220548
222	0.8630818629
223	0.8629429921
224	0.8620939741
225	0.8618313408
226	0.8616637829
227	0.861454815
228	0.860615648
229	0.8593214863
230	0.8590023501
231	0.8583484178
232	0.8576871185
233	0.8571350875
234	0.8566837712
235	0.8558972132
236	0.8548470173
237	0.8545085512
238	0.8540358158
239	0.8536911289
240	0.8527972286
241	0.8519115485
