iter	Passed	Remaining
0	95	47662
1	119	29805
2	133	22056
3	162	20186
4	176	17450
5	193	15963
6	201	14221
7	208	12838
8	212	11587
9	217	10672
10	223	9928
11	228	9288
12	231	8683
13	236	8200
14	241	7793
15	244	7405
16	251	7132
17	254	6819
18	260	6605
19	267	6429
20	273	6248
21	278	6042
22	281	5841
23	285	5663
24	289	5493
25	293	5351
26	297	5213
27	303	5120
28	311	5063
29	316	4951
30	320	4842
31	325	4754
32	331	4697
33	336	4618
34	341	4543
35	349	4499
36	360	4508
37	364	4431
38	371	4395
39	378	4350
40	381	4274
41	386	4214
42	391	4158
43	397	4117
44	400	4044
45	404	3989
46	407	3929
47	411	3876
48	414	3812
49	417	3755
50	423	3730
51	428	3690
52	431	3640
53	437	3615
54	444	3593
55	447	3547
56	450	3498
57	453	3455
58	457	3418
59	465	3412
60	469	3379
61	475	3360
62	478	3316
63	481	3280
64	484	3241
65	489	3221
66	493	3187
67	498	3164
68	501	3133
69	506	3114
70	510	3086
71	516	3071
72	520	3046
73	523	3015
74	531	3010
75	536	2994
76	547	3006
77	552	2987
78	557	2972
79	560	2943
80	564	2922
81	569	2904
82	575	2890
83	583	2890
84	588	2874
85	594	2859
86	600	2852
87	605	2832
88	608	2810
89	613	2793
90	619	2784
91	630	2795
92	639	2798
93	650	2808
94	657	2801
95	661	2785
96	667	2773
97	671	2755
98	675	2736
99	680	2720
100	683	2699
101	689	2689
102	692	2670
103	697	2656
104	700	2635
105	703	2615
106	706	2596
107	710	2578
108	715	2566
109	721	2557
110	724	2539
111	729	2526
112	732	2508
113	736	2494
114	741	2482
115	745	2467
116	751	2458
117	755	2444
118	758	2428
119	761	2410
120	765	2398
121	770	2388
122	773	2371
123	776	2354
124	780	2341
125	783	2326
126	787	2313
127	796	2315
128	800	2301
129	802	2284
130	804	2267
131	807	2251
132	811	2239
133	815	2226
134	820	2218
135	824	2206
136	827	2192
137	830	2177
138	832	2162
139	836	2152
140	841	2142
141	845	2130
142	847	2115
143	853	2110
144	859	2103
145	862	2090
146	864	2076
147	866	2062
148	869	2049
149	872	2035
150	875	2023
151	878	2012
152	880	1997
153	884	1988
154	888	1977
155	892	1967
156	895	1956
157	898	1945
158	902	1936
159	908	1930
160	911	1920
161	915	1909
162	918	1898
163	923	1891
164	927	1883
165	933	1878
166	936	1867
167	939	1856
168	943	1848
169	946	1837
170	950	1827
171	952	1816
172	956	1807
173	959	1797
174	961	1786
175	965	1776
176	970	1771
177	974	1762
178	977	1753
179	981	1744
180	986	1738
181	989	1729
182	993	1720
183	998	1714
184	1001	1705
185	1004	1695
186	1007	1685
187	1009	1675
188	1012	1666
189	1018	1661
190	1020	1651
191	1025	1645
192	1031	1640
193	1037	1636
194	1040	1628
195	1044	1620
196	1050	1616
197	1053	1606
198	1056	1598
199	1059	1588
200	1061	1579
201	1065	1571
202	1069	1564
203	1071	1554
204	1074	1545
205	1076	1536
206	1080	1530
207	1083	1520
208	1086	1512
209	1088	1503
210	1092	1495
211	1095	1487
212	1097	1478
213	1099	1469
214	1102	1460
215	1105	1454
216	1111	1449
217	1114	1441
218	1117	1433
219	1120	1426
220	1126	1421
221	1132	1418
222	1136	1411
223	1142	1407
224	1149	1405
225	1155	1400
226	1160	1396
227	1167	1393
228	1170	1385
229	1175	1379
230	1180	1374
231	1183	1366
232	1186	1360
233	1190	1353
234	1193	1345
235	1195	1337
236	1198	1330
237	1201	1322
238	1205	1316
239	1207	1308
240	1210	1300
241	1213	1294
242	1216	1286
243	1219	1279
244	1223	1273
245	1227	1267
246	1230	1260
247	1234	1254
248	1237	1247
249	1243	1243
250	1246	1236
251	1251	1231
252	1255	1225
253	1257	1218
254	1261	1212
255	1265	1205
256	1267	1198
257	1271	1192
258	1275	1187
259	1279	1181
260	1282	1174
261	1286	1168
262	1293	1165
263	1297	1159
264	1301	1154
265	1305	1148
266	1310	1143
267	1314	1138
268	1317	1131
269	1322	1126
270	1325	1120
271	1329	1114
272	1332	1108
273	1338	1103
274	1341	1097
275	1346	1092
276	1352	1088
277	1355	1082
278	1358	1075
279	1360	1069
280	1364	1063
281	1367	1057
282	1370	1050
283	1375	1046
284	1379	1040
285	1382	1034
286	1388	1030
287	1391	1024
288	1395	1018
289	1398	1012
290	1400	1005
291	1404	1000
292	1406	993
293	1411	989
294	1415	983
295	1419	977
296	1424	973
297	1428	968
298	1431	962
299	1434	956
300	1439	951
301	1442	945
302	1445	939
303	1447	933
304	1450	927
305	1452	921
306	1455	915
307	1458	909
308	1461	903
309	1466	898
310	1471	894
311	1475	888
312	1477	882
313	1480	876
314	1484	871
315	1487	866
316	1490	860
317	1494	855
318	1497	849
319	1501	844
320	1505	839
321	1508	833
322	1510	827
323	1515	823
324	1518	817
325	1521	811
326	1525	807
327	1528	801
328	1531	795
329	1533	790
330	1536	784
331	1538	778
332	1541	772
333	1544	767
334	1547	762
335	1549	756
336	1551	750
337	1554	745
338	1557	739
339	1561	734
340	1564	729
341	1568	724
342	1571	719
343	1577	715
344	1580	710
345	1583	704
346	1588	700
347	1591	694
348	1595	690
349	1599	685
350	1602	680
351	1605	675
352	1609	670
353	1613	665
354	1616	660
355	1620	655
356	1623	650
357	1626	645
358	1629	639
359	1632	634
360	1635	629
361	1638	624
362	1643	620
363	1647	615
